Uni Name,Country,State,Exact Location,Official website url,Rank in QS Rankings,Average Fee per semester in AUD,IELTS overall,IELTS reading,IELTS listening,IELTS writing,IELTS speaking,IELTS valid duration,TOEFL IBT overall,TOEFL IBT listening,TOEFL IBT reading,TOEFL IBT speaking,TOEFL IBT writing,PTE overall,PTE speaking & writing,PTE reading,PTE listening,Minimum GPA required,Aggregate 12 percentage,Application Fee,Scholarship Offered To Internation Students With Links,Average Fee per year in AUD,minimum IELTS overall,minimum TOEFL IBT overall,minimum PTE overall,High School Qualifications Accepted,ATAR,Avg Internation Baccalaureate Diploma (IB) Grade,UK GCE A Levels,IB Diploma,UK A-levels
The Australian National University,Australia,Australian Capital Territory,"
Ellery Crescent, Acton
Canberra, Australian Capital Territory 0200",,https://www.anu.edu.au/,"	$41,040.00",6.0,5.5,5.5,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,
University of Canberra,Australia,Australian Capital Territory,"
University Drive,Bruce
Canberra, Australian Capital Territory 2601",,https://www.canberra.edu.au/,"$24,500.00",6.5,,,,,,46.0,4.0,46.0,14.0,14.0,40.0,,,,,,,https://www.canberra.edu.au/scholarships?student-type=international,,,,,,,,,,
Avondale University,Australia,NSW,,https://www.avondale.edu.au/,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Sturt University,Australia,NSW,,https://www.csu.edu.au/,,,,5.5,5.5,5.5,5.5,2.0,,,,,,,,,,,,,,,6.0,,,,,,,,
Macquarie University,Australia,NSW,,,195,,,6.0,6.0,6.0,6.0,2.0,,12.0,13.0,18.0,21.0,,52.0,52.0,52.0,depends on course,,,"Medibank Undergraduate Coursework Scholarship  ,  Nepal $10,000 Early Acceptance Scholarship, Macquarie University $5,000 Regional Scholarship, Vice-Chancellor's International Scholarship, Macquarie University UAC International Scholarship, Medibank Undergraduate Coursework Scholarship",37000.0,6.5,83.0,58.0,,,,,,
Southern Cross University,Australia,NSW,,https://www.scu.edu.au/,701,,,5.5,5.5,5.5,5.5,,,,,,,,,,,2.5,,,"International Advancement Scholarship (current student), Academic Performance Scholarship (current student), International Outstanding Academic Performance Scholarship (current student), SCU International Women in STEM Scholarship (future student),
Vice Chancellor’s Academic Excellence (future student),
Vice Chancellor’s International Diversification Scholarship (future student),
SCU International Regional Scholarship (future student), Destination Australia Scholarship,
Ralph Barclay Braun Memorial Honours Scholarship,
Scholarships for Research Students",30000.0,6.0,,,,70.0,,,,
University of New England,Australia,NSW,,https://www.une.edu.au/,801,,,5.5,5.5,5.5,5.5,,,,,,22.0,,50.0,50.0,50.0,2.5,65.0,,"ASEAN Bursary, Destination Australia Program Scholarship 2023, UNE International Bursary",28000.0,6.0,79.0,57.0,,,,,,
University of New South Wales,Australia,NSW,,https://www.unsw.edu.au/,45,,,6.0,6.0,6.0,6.0,2.0,,22.0,22.0,22.0,23.0,,54.0,54.0,54.0,,,,"Richard and Isolda Munz Award in Music UGCA1032, Mitchell History Award UGCA1399 , Arts & Social Sciences Southeast Asia Travel Award (PUTR1011)",50000.0,6.5,90.0,64.0,"IB, GCE A-Levels",,"Grade 4 or above in one of the following IB English courses
English A: language and literature at standard or higher level
English A: literature at standard or higher level
English B at higher level",A minimum of grade C in a Humanities-based subject at an A2 level or a minimum of grade C in the General Paper at an A2 level,,
University of Newcastle,Australia,NSW,,https://www.newcastle.edu.au/,192,,,6.0,6.0,6.0,6.0,,,12.0,13.0,18.0,21.0,,,,,,,,"Academic Excellence Scholarships Recognising Outstanding Performance in Undergraduate Studies, College of International Education International Pathways Scholarship, ELBP Start Now Scholarship, International Excellence Scholarship (Information Technology and Computer Science), Onshore Excellence Scholarship, South Asia Excellence Scholarship, The Parker Fellowship",38000.0,6.0,60.0,50.0,,,,,,
University of Sydney,Australia,NSW,,https://www.sydney.edu.au/,41,,,6.0,6.0,6.0,6.0,,,17.0,17.0,17.0,19.0,,54.0,54.0,54.0,,,,"Vice-Chancellor's International Scholarships Scheme, Charles Herbert Currey Memorial Scholarship, Frank McDonald Memorial Fund, International and Global Studies Travelling Scholarship, Language Student Travel Scholarship",50000.0,6.5,85.0,61.0,,,30,,,
